Time	Vm
9.999999999996382485e+02	5.536196489768485662e-02
1.000099999999638158e+03	5.533582861328056879e-02
1.000199999999638067e+03	5.530971581892174527e-02
1.000299999999637976e+03	5.528375268087870609e-02
1.000399999999637885e+03	5.525838576645014655e-02
1.000499999999637794e+03	5.523473774073295317e-02
1.000599999999637703e+03	5.521506094487449445e-02
1.000699999999637612e+03	5.520319673549067829e-02
1.000799999999637521e+03	5.520493830192663154e-02
1.000899999999637430e+03	5.522822028335383493e-02
1.000999999999637339e+03	5.528310274712566752e-02
1.001099999999637248e+03	5.538156099535740395e-02
1.001199999999637157e+03	5.553712394731746826e-02
1.001299999999637066e+03	5.576441859859926353e-02
1.001399999999636975e+03	5.607867844354075260e-02
1.001499999999636884e+03	5.649526466258691926e-02
1.001599999999636793e+03	5.702923453463881742e-02
1.001699999999636702e+03	5.769497590912919804e-02
1.001799999999636611e+03	5.850591355834922069e-02
1.001899999999636520e+03	5.947428506254937020e-02
1.001999999999636429e+03	6.061098029752542971e-02
1.002099999999636339e+03	6.192543780447579138e-02
1.002199999999636248e+03	6.342559149514670480e-02
1.002299999999636157e+03	6.511786125123819602e-02
1.002399999999636066e+03	6.700718079207490518e-02
1.002499999999635975e+03	6.909705591299086791e-02
1.002599999999635884e+03	7.138964610822995382e-02
1.002699999999635793e+03	7.388586283907727648e-02
1.002799999999635702e+03	7.658547829808526330e-02
1.002899999999635611e+03	7.948723936301860249e-02
1.002999999999635520e+03	8.258898240553946835e-02
1.003099999999635429e+03	8.588774560439560446e-02
1.003199999999635338e+03	8.937987632532440330e-02
1.003299999999635247e+03	9.306113192128862011e-02
1.003399999999635156e+03	9.692677295676332960e-02
1.003499999999635065e+03	1.009716483685423327e-01
1.003599999999634974e+03	1.051902724568805070e-01
1.003699999999634883e+03	1.095768938743049148e-01
1.003799999999634792e+03	1.141255569640691192e-01
1.003899999999634701e+03	1.188301559175641842e-01
1.003999999999634611e+03	1.236844822854408221e-01
1.004099999999634520e+03	1.286822664049367404e-01
1.004199999999634429e+03	1.338172133081769744e-01
1.004299999999634338e+03	1.390830336595314520e-01
1.004399999999634247e+03	1.444734702433265738e-01
1.004499999999634156e+03	1.499823204883483641e-01
1.004599999999634065e+03	1.556034554786975832e-01
1.004699999999633974e+03	1.613308358611220683e-01
1.004799999999633883e+03	1.671585250217901830e-01
1.004899999999633792e+03	1.730806998677536512e-01
1.004999999999633701e+03	1.790916595146256896e-01
1.005099999999633610e+03	1.851858321495853943e-01
1.005199999999633519e+03	1.913577803091897067e-01
1.005299999999633428e+03	1.976022047847152407e-01
1.005399999999633337e+03	2.039139473434374850e-01
1.005499999999633246e+03	2.102879924320575356e-01
1.005599999999633155e+03	2.167194680088186942e-01
1.005699999999633064e+03	2.232036456333759133e-01
1.005799999999632973e+03	2.297359399273091185e-01
1.005899999999632882e+03	2.363119075045574391e-01
1.005999999999632792e+03	2.429272454584463503e-01
1.006099999999632701e+03	2.495777894806536779e-01
1.006199999999632610e+03	2.562595116781949400e-01
1.006299999999632519e+03	2.629685181454846088e-01
1.006399999999632428e+03	2.697010463409270642e-01
1.006499999999632337e+03	2.764534623109966560e-01
1.006599999999632246e+03	2.832222577986414080e-01
1.006699999999632155e+03	2.900040472677289927e-01
1.006799999999632064e+03	2.967955648707061300e-01
1.006899999999631973e+03	3.035936613825924724e-01
1.006999999999631882e+03	3.103953011210052182e-01
1.007099999999631791e+03	3.171975588688979997e-01
1.007199999999631700e+03	3.239976168137275181e-01
1.007299999999631609e+03	3.307927615149708345e-01
1.007399999999631518e+03	3.375803809094577446e-01
1.007499999999631427e+03	3.443579613623768410e-01
1.007599999999631336e+03	3.511230847703217250e-01
1.007699999999631245e+03	3.578734257215927528e-01
1.007799999999631154e+03	3.646067487173922927e-01
1.007899999999631063e+03	3.713209054571251500e-01
1.007999999999630973e+03	3.780138321899357834e-01
1.008099999999630882e+03	3.846835471336902401e-01
1.008199999999630791e+03	3.913281479625823067e-01
1.008299999999630700e+03	3.979458093634633542e-01
1.008399999999630609e+03	4.045347806608248220e-01
1.008499999999630518e+03	4.110933835102201783e-01
1.008599999999630427e+03	4.176200096590889643e-01
1.008699999999630336e+03	4.241131187742581687e-01
1.008799999999630245e+03	4.305712363348277449e-01
1.008899999999630154e+03	4.369929515892181371e-01
1.008999999999630063e+03	4.433769155748308322e-01
1.009099999999629972e+03	4.497218391989434849e-01
1.009199999999629881e+03	4.560264913790632590e-01
1.009299999999629790e+03	4.622896972413030880e-01
1.009399999999629699e+03	4.685103363749334449e-01
1.009499999999629608e+03	4.746873411415180044e-01
1.009599999999629517e+03	4.808196950369278966e-01
1.009699999999629426e+03	4.869064311046145122e-01
1.009799999999629335e+03	4.929466303982934505e-01
1.009899999999629244e+03	4.989394204927179999e-01
1.009999999999629154e+03	5.048839740406663168e-01
1.010099999999629063e+03	5.107795073746643766e-01
1.010199999999628972e+03	5.166252791520093979e-01
1.010299999999628881e+03	5.224205890414594933e-01
1.010399999999628790e+03	5.281647764502679365e-01
1.010499999999628699e+03	5.338572192900841173e-01
1.010599999999628608e+03	5.394973327803853635e-01
1.010699999999628517e+03	5.450845682881890752e-01
1.010799999999628426e+03	5.506184122026951400e-01
1.010899999999628335e+03	5.560983848437075494e-01
1.010999999999628244e+03	5.615240394026699278e-01
1.011099999999628153e+03	5.668949609150786273e-01
1.011199999999628062e+03	5.722107652633638963e-01
1.011299999999627971e+03	5.774710982090169864e-01
1.011399999999627880e+03	5.826756344531105469e-01
1.011499999999627789e+03	5.878240767241891263e-01
1.011599999999627698e+03	5.929161548925065972e-01
1.011699999999627607e+03	5.979516251099425972e-01
1.011799999999627516e+03	6.029302689745605903e-01
1.011899999999627425e+03	6.078518927190259546e-01
1.011999999999627335e+03	6.127163264221735517e-01
1.012099999999627244e+03	6.175234232429147596e-01
1.012199999999627153e+03	6.222730586757165838e-01
1.012299999999627062e+03	6.269651298271270434e-01
1.012399999999626971e+03	6.315995547124089171e-01
1.012499999999626880e+03	6.361762715719407879e-01
1.012599999999626789e+03	6.406952382065327356e-01
1.012699999999626698e+03	6.451564313312161403e-01
1.012799999999626607e+03	6.495598459468681085e-01
1.012899999999626516e+03	6.539054947291305098e-01
1.012999999999626425e+03	6.581934074341688756e-01
1.013099999999626334e+03	6.624236303206032517e-01
1.013199999999626243e+03	6.665962255873978393e-01
1.013299999999626152e+03	6.707112708268994083e-01
1.013399999999626061e+03	6.747688584928965838e-01
1.013499999999625970e+03	6.787690953831031493e-01
1.013599999999625879e+03	6.827121021355821995e-01
1.013699999999625788e+03	6.865980127389548215e-01
1.013799999999625697e+03	6.904269740557111845e-01
1.013899999999625607e+03	6.941991453584819283e-01
1.013999999999625516e+03	6.979146978788435263e-01
1.014099999999625425e+03	7.015738143681460315e-01
1.014199999999625334e+03	7.051766886704058379e-01
1.014299999999625243e+03	7.087235253064534390e-01
1.014399999999625152e+03	7.122145390694925027e-01
1.014499999999625061e+03	7.156499546314307736e-01
1.014599999999624970e+03	7.190300061598264847e-01
1.014699999999624879e+03	7.223549369451944813e-01
1.014799999999624788e+03	7.256249990383167869e-01
1.014899999999624697e+03	7.288404528973870811e-01
1.014999999999624606e+03	7.320015670446338163e-01
1.015099999999624515e+03	7.351086177321803916e-01
1.015199999999624424e+03	7.381618886170997484e-01
1.015299999999624333e+03	7.411616704450665338e-01
1.015399999999624242e+03	7.441082607427631501e-01
1.015499999999624151e+03	7.470019635185281004e-01
1.015599999999624060e+03	7.498430889712039971e-01
1.015699999999623969e+03	7.526319532069010165e-01
1.015799999999623878e+03	7.553688779635336914e-01
1.015899999999623788e+03	7.580541903428468231e-01
1.015999999999623697e+03	7.606882225498452499e-01
1.016099999999623606e+03	7.632713116393858854e-01
1.016199999999623515e+03	7.658037992696904439e-01
1.016299999999623424e+03	7.682860314628356946e-01
1.016399999999623333e+03	7.707183583717096553e-01
1.016499999999623242e+03	7.731011340535758336e-01
1.016599999999623151e+03	7.754347162499044543e-01
1.016699999999623060e+03	7.777194661724422531e-01
1.016799999999622969e+03	7.799557482951655629e-01
1.016899999999622878e+03	7.821439301522730148e-01
1.016999999999622787e+03	7.842843821254348313e-01
1.017099999999622696e+03	7.863774771719675982e-01
1.017199999999622605e+03	7.884235904266887474e-01
1.017299999999622514e+03	7.904230986282669846e-01
1.017399999999622423e+03	7.923763793695570712e-01
1.017499999999622332e+03	7.942838102255223021e-01
1.017599999999622241e+03	7.961457678459424869e-01
1.017699999999622150e+03	7.979626271069832910e-01
1.017799999999622059e+03	7.997347603980102804e-01
1.017899999999621969e+03	8.014625370905292812e-01
1.017999999999621878e+03	8.031463232059934398e-01
1.018099999999621787e+03	8.047864812734673023e-01
1.018199999999621696e+03	8.063833703519236451e-01
1.018299999999621605e+03	8.079373461836354409e-01
1.018399999999621514e+03	8.094487614428089728e-01
1.018499999999621423e+03	8.109179660465031247e-01
1.018599999999621332e+03	8.123453074992141865e-01
