Time	Vm
9.999999999996382485e+02	5.536196489768485662e-02
1.000099999999638158e+03	5.533582861328056879e-02
1.000199999999638067e+03	5.530970147468394771e-02
1.000299999999637976e+03	5.528361443940355002e-02
1.000399999999637885e+03	5.525767702744133203e-02
1.000499999999637794e+03	5.523216440349187906e-02
1.000599999999637703e+03	5.520762820913205360e-02
1.000699999999637612e+03	5.518500842853768518e-02
1.000799999999637521e+03	5.516572113535289645e-02
1.000899999999637430e+03	5.515170333303842654e-02
1.000999999999637339e+03	5.514540703671855226e-02
1.001099999999637248e+03	5.514974557392804400e-02
1.001199999999637157e+03	5.516800277955269394e-02
1.001299999999637066e+03	5.520371937087986680e-02
1.001399999999636975e+03	5.526057084856006441e-02
1.001499999999636884e+03	5.534224899291473321e-02
1.001599999999636793e+03	5.545235544664706140e-02
1.001699999999636702e+03	5.559431197592346052e-02
1.001799999999636611e+03	5.577128876150538872e-02
1.001899999999636520e+03	5.598615005109763842e-02
1.001999999999636429e+03	5.624141563892237627e-02
1.002099999999636339e+03	5.653923647048486600e-02
1.002199999999636248e+03	5.688138273664833378e-02
1.002299999999636157e+03	5.726924285862367014e-02
1.002399999999636066e+03	5.770383172149706752e-02
1.002499999999635975e+03	5.818580644167070659e-02
1.002599999999635884e+03	5.871548792563885399e-02
1.002699999999635793e+03	5.929288653372566387e-02
1.002799999999635702e+03	5.991773030574165659e-02
1.002899999999635611e+03	6.058949441506911171e-02
1.002999999999635520e+03	6.130743076059275154e-02
1.003099999999635429e+03	6.207059685286253625e-02
1.003199999999635338e+03	6.287788338167388247e-02
1.003299999999635247e+03	6.372804005167154173e-02
1.003399999999635156e+03	6.461969943737244648e-02
1.003499999999635065e+03	6.555139873779580739e-02
1.003599999999634974e+03	6.652159940789204029e-02
1.003699999999634883e+03	6.752870471279948106e-02
1.003799999999634792e+03	6.857107529853578853e-02
1.003899999999634701e+03	6.964704290179213331e-02
1.003999999999634611e+03	7.075492233853708512e-02
1.004099999999634520e+03	7.189302191774515904e-02
1.004199999999634429e+03	7.305965242709078211e-02
1.004299999999634338e+03	7.425313483324202934e-02
1.004399999999634247e+03	7.547180683197041162e-02
1.004499999999634156e+03	7.671402837466700930e-02
1.004599999999634065e+03	7.797818628800712304e-02
1.004699999999633974e+03	7.926269809348696072e-02
1.004799999999633883e+03	8.056601512360828110e-02
1.004899999999633792e+03	8.188662502216459416e-02
1.004999999999633701e+03	8.322305370683125147e-02
1.005099999999633610e+03	8.457386686414736232e-02
1.005199999999633519e+03	8.593767103933203089e-02
1.005299999999633428e+03	8.731311437604460934e-02
1.005399999999633337e+03	8.869888705544326513e-02
1.005499999999633246e+03	9.009372147738758940e-02
1.005599999999633155e+03	9.149639222236771730e-02
1.005699999999633064e+03	9.290571582735651646e-02
1.005799999999632973e+03	9.432055040515763267e-02
1.005899999999632882e+03	9.573979513294261778e-02
1.005999999999632792e+03	9.716238963255818817e-02
1.006099999999632701e+03	9.858731326215774970e-02
1.006199999999632610e+03	1.000135843361533716e-01
1.006299999999632519e+03	1.014402592884238175e-01
1.006399999999632428e+03	1.028664317915541915e-01
1.006499999999632337e+03	1.042912318430069263e-01
1.006599999999632246e+03	1.057138248279301251e-01
1.006699999999632155e+03	1.071334105665613379e-01
1.006799999999632064e+03	1.085492223533606193e-01
1.006899999999631973e+03	1.099605259935714230e-01
1.006999999999631882e+03	1.113666188423820813e-01
1.007099999999631791e+03	1.127668288506953331e-01
1.007199999999631700e+03	1.141605136211296667e-01
1.007299999999631609e+03	1.155470594771372816e-01
1.007399999999631518e+03	1.169258805475266172e-01
1.007499999999631427e+03	1.182964178682937018e-01
1.007599999999631336e+03	1.196581385033113065e-01
1.007699999999631245e+03	1.210105346850980368e-01
1.007799999999631154e+03	1.223531229763921147e-01
1.007899999999631063e+03	1.236854434532830282e-01
1.007999999999630973e+03	1.250070589102989516e-01
1.008099999999630882e+03	1.263175540876062541e-01
1.008199999999630791e+03	1.276165349204916311e-01
1.008299999999630700e+03	1.289036278110131661e-01
1.008399999999630609e+03	1.301784789216924310e-01
1.008499999999630518e+03	1.314407534909776132e-01
1.008599999999630427e+03	1.326901351701508247e-01
1.008699999999630336e+03	1.339263253813811616e-01
1.008799999999630245e+03	1.351490426963266600e-01
1.008899999999630154e+03	1.363580222350009308e-01
1.008999999999630063e+03	1.375530150842649846e-01
1.009099999999629972e+03	1.387337877355179216e-01
1.009199999999629881e+03	1.399001215410606846e-01
1.009299999999629790e+03	1.410518121884507536e-01
1.009399999999629699e+03	1.421886691925351442e-01
1.009499999999629608e+03	1.433105154044227447e-01
1.009599999999629517e+03	1.444171865368986118e-01
1.009699999999629426e+03	1.455085307058681110e-01
1.009799999999629335e+03	1.465844079871061467e-01
1.009899999999629244e+03	1.476446899879135799e-01
1.009999999999629154e+03	1.486892594332260842e-01
1.010099999999629063e+03	1.497180097654364772e-01
1.010199999999628972e+03	1.507308447577742072e-01
1.010299999999628881e+03	1.517276781405314523e-01
1.010399999999628790e+03	1.527084332397521393e-01
1.010499999999628699e+03	1.536730426279717676e-01
1.010599999999628608e+03	1.546214477865390791e-01
1.010699999999628517e+03	1.555535987791074604e-01
1.010799999999628426e+03	1.564694539359976488e-01
1.010899999999628335e+03	1.573689795488206755e-01
1.010999999999628244e+03	1.582521495752473584e-01
1.011099999999628153e+03	1.591189453533701226e-01
1.011199999999628062e+03	1.599693553254866174e-01
1.011299999999627971e+03	1.608033747707793282e-01
1.011399999999627880e+03	1.616210055467490747e-01
1.011499999999627789e+03	1.624222558389618598e-01
1.011599999999627698e+03	1.632071399189385374e-01
1.011699999999627607e+03	1.639756779098320294e-01
1.011799999999627516e+03	1.647278955595652405e-01
1.011899999999627425e+03	1.654638240213017752e-01
1.011999999999627335e+03	1.661834996409083942e-01
1.012099999999627244e+03	1.668869637512102599e-01
1.012199999999627153e+03	1.675742624727831753e-01
1.012299999999627062e+03	1.682454465209985983e-01
1.012399999999626971e+03	1.689005710193072218e-01
1.012499999999626880e+03	1.695396953183205824e-01
1.012599999999626789e+03	1.701628828206480648e-01
1.012699999999626698e+03	1.707702008112477188e-01
1.012799999999626607e+03	1.713617202930777239e-01
1.012899999999626516e+03	1.719375158279490279e-01
1.012999999999626425e+03	1.724976653823517836e-01
1.013099999999626334e+03	1.730422501781276878e-01
1.013199999999626243e+03	1.735713545478034803e-01
1.013299999999626152e+03	1.740850657944434943e-01
1.013399999999626061e+03	1.745834740558933618e-01
1.013499999999625970e+03	1.750666721732727638e-01
1.013599999999625879e+03	1.755347555635751178e-01
1.013699999999625788e+03	1.759878220962178830e-01
1.013799999999625697e+03	1.764259719735150611e-01
1.013899999999625607e+03	1.768493076148160981e-01
1.013999999999625516e+03	1.772579335443111859e-01
1.014099999999625425e+03	1.776519562822898024e-01
1.014199999999625334e+03	1.780314842399235431e-01
1.014299999999625243e+03	1.783966276172037624e-01
1.014399999999625152e+03	1.787474983041761334e-01
1.014499999999625061e+03	1.790842097852305415e-01
1.014599999999624970e+03	1.794068770464747331e-01
1.014699999999624879e+03	1.797156164858790817e-01
1.014799999999624788e+03	1.800105458264482650e-01
1.014899999999624697e+03	1.802917840319935294e-01
1.014999999999624606e+03	1.805594512256618600e-01
1.015099999999624515e+03	1.808136686109662605e-01
1.015199999999624424e+03	1.810545583954450422e-01
1.015299999999624333e+03	1.812822437167085354e-01
1.015399999999624242e+03	1.814968485708163826e-01
1.015499999999624151e+03	1.816984977429996206e-01
1.015599999999624060e+03	1.818873167406280800e-01
1.015699999999623969e+03	1.820634317283662540e-01
1.015799999999623878e+03	1.822269694653471106e-01
1.015899999999623788e+03	1.823780572444775316e-01
1.015999999999623697e+03	1.825168228337332721e-01
1.016099999999623606e+03	1.826433944193439629e-01
1.016199999999623515e+03	1.827579005508823684e-01
1.016299999999623424e+03	1.828604700881584222e-01
1.016399999999623333e+03	1.829512321499322525e-01
1.016499999999623242e+03	1.830303160643040883e-01
1.016599999999623151e+03	1.830978513207810465e-01
1.016699999999623060e+03	1.831539675240065890e-01
1.016799999999622969e+03	1.831987943490389625e-01
1.016899999999622878e+03	1.832324614981644118e-01
1.016999999999622787e+03	1.832550986592451636e-01
1.017099999999622696e+03	1.832668354654742870e-01
1.017199999999622605e+03	1.832678014565232161e-01
1.017299999999622514e+03	1.832581260411814128e-01
1.017399999999622423e+03	1.832379384611471096e-01
1.017499999999622332e+03	1.832073677562533476e-01
1.017599999999622241e+03	1.831665427309161487e-01
1.017699999999622150e+03	1.831155919217906103e-01
1.017799999999622059e+03	1.830546435666065008e-01
1.017899999999621969e+03	1.829838255742117781e-01
1.017999999999621878e+03	1.829032654956677106e-01
1.018099999999621787e+03	1.828130904965235004e-01
1.018199999999621696e+03	1.827134273300430323e-01
1.018299999999621605e+03	1.826044023116111248e-01
1.018399999999621514e+03	1.824861412939640104e-01
1.018499999999621423e+03	1.823587696435566841e-01
1.018599999999621332e+03	1.822224122177829031e-01
