expected_control	peaks_control	expected_ampa	peaks_ampa
4.297998649440207264e-02	-4.638035102317417113e-03	3.013653263943396471e-02	-4.638035102317417113e-03
8.595997298880414528e-02	3.434647977836391419e-02	6.027306527886792942e-02	2.427435785371301336e-02
1.289399594832062179e-01	7.846119285214570027e-02	9.040959791830188719e-02	5.736537774161831749e-02
1.719199459776082906e-01	1.226506119471935108e-01	1.205461305577358588e-01	9.037264648736709205e-02
2.148999324720103632e-01	1.668825925107171315e-01	1.506826631971698305e-01	1.232678014565209423e-01
2.578799189664124358e-01	2.111496767894180948e-01	1.808191958366037744e-01	1.560478447633215637e-01
3.008599054608145362e-01	2.554513695210118840e-01	2.109557284760377460e-01	1.887076238607505729e-01
3.438398919552165811e-01	2.997916214053475414e-01	2.410922611154717177e-01	2.212513101796105275e-01
3.868198784496186260e-01	3.441690271130255496e-01	2.712287937549056616e-01	2.536771893126541499e-01
4.297998649440207264e-01	3.885867177937711858e-01	3.013653263943396610e-01	2.859849107096863463e-01
4.727798514384228268e-01	4.330473014955060762e-01	3.315018590337736049e-01	3.181751396279963728e-01
5.157598379328248717e-01	4.775523628355813344e-01	3.616383916732075487e-01	3.502485447148018238e-01
5.587398244272269165e-01	5.221042179524317817e-01	3.917749243126415482e-01	3.822057979436976893e-01
6.017198109216290725e-01	5.667070134105784973e-01	4.219114569520754920e-01	4.140475745534502039e-01
6.446997974160311173e-01	6.113588933962716965e-01	4.520479895915094914e-01	4.457773621379601536e-01
6.876797839104331622e-01	6.560702508467670668e-01	4.821845222309434353e-01	4.773932558252624858e-01
7.306597704048352071e-01	7.008339603428339615e-01	5.123210548703773792e-01	5.088958439012287727e-01
7.736397568992372520e-01	7.456628525717547973e-01	5.424575875098113231e-01	5.402858126662124505e-01
8.166197433936394079e-01	7.905518082655191847e-01	5.725941201492453780e-01	5.715638514952985361e-01
8.595997298880414528e-01	8.355068717936262601e-01	6.027306527886793219e-01	6.027306527886793219e-01
9.025797163824434977e-01	8.805331956826023543e-01	6.328671854281132658e-01	6.337869119243038085e-01
9.455597028768456536e-01	9.256257261542231163e-01	6.630037180675472097e-01	6.647333272122040171e-01
9.885396893712476984e-01	9.708021478743233956e-01	6.931402507069811536e-01	6.955705998509245092e-01
1.031519675865649743e+00	1.016050066656447370e+00	7.232767833464150975e-01	7.262994338855151000e-01
1.074499662360051788e+00	1.061384204946392629e+00	7.534133159858491524e-01	7.569205361675130916e-01
1.117479648854453833e+00	1.106801939160817483e+00	7.835498486252830963e-01	7.874346163164034351e-01
1.160459635348855878e+00	1.152306537554167676e+00	8.136863812647170402e-01	8.178423866827699840e-01
1.203439621843258145e+00	1.197908534115256884e+00	8.438229139041509841e-01	8.481445623131804723e-01
1.246419608337660190e+00	1.243598076057523372e+00	8.739594465435849280e-01	8.783418609164641566e-01
1.289399594832062235e+00	1.289399594832062235e+00	9.040959791830189829e-01	9.084350028314815972e-01
1.332379581326464280e+00	1.335295511800893564e+00	9.342325118224529268e-01	9.384247109963865796e-01
1.375359567820866324e+00	1.381306843591161737e+00	9.643690444618868707e-01	9.683117109192949101e-01
1.418339554315268369e+00	1.427426082592546663e+00	9.945055771013208146e-01	9.980967306502890324e-01
1.461319540809670414e+00	1.473664151929867216e+00	1.024642109740754758e+00	1.027781809961126669e+00
1.504299527304072459e+00	1.520024302053641918e+00	1.054778642380188813e+00	1.057368108878876001e+00
1.547279513798474504e+00	1.566507731628718147e+00	1.084915175019622646e+00	1.086854748993886233e+00
1.590259500292876771e+00	1.613127494804388107e+00	1.115051707659056701e+00	1.116242468094768014e+00
1.633239486787278816e+00	1.659876349276345309e+00	1.145188240298490756e+00	1.145532006454089924e+00
1.676219473281680861e+00	1.706775651240562297e+00	1.175324772937924589e+00	1.174724106806934287e+00
1.719199459776082906e+00	1.753811567769432145e+00	1.205461305577358644e+00	1.203819514330589868e+00
1.762179446270484950e+00	1.801011682910882428e+00	1.235597838216792477e+00	1.232818976625154050e+00
1.805159432764886995e+00	1.848358018666175440e+00	1.265734370856226532e+00	1.261723243695229257e+00
1.848139419259289040e+00	1.895881710794952824e+00	1.295870903495660587e+00	1.290533067932727818e+00
1.891119405753691307e+00	1.943563709981802390e+00	1.326007436135094419e+00	1.319249204100273687e+00
1.934099392248093352e+00	1.991435391421973122e+00	1.356143968774528474e+00	1.347872409315897357e+00
1.977079378742495397e+00	2.039480374815084929e+00	1.386280501413962307e+00	1.376403443038356045e+00
2.020059365236897442e+00	2.087726286641540696e+00	1.416417034053396362e+00	1.404843067053334948e+00
2.063039351731299487e+00	2.136163867154053264e+00	1.446553566692830195e+00	1.433192045460572217e+00
2.106019338225701532e+00	2.184812283900697594e+00	1.476690099332264250e+00	1.461451144661552348e+00
2.148999324720103576e+00	2.233674612362577250e+00	1.506826631971698305e+00	1.489621133348208559e+00
2.191979311214505621e+00	2.282756075137584162e+00	1.536963164611132138e+00	1.517702782492037272e+00
2.234959297708907666e+00	2.332078121240797941e+00	1.567099697250566193e+00	1.545696865334178938e+00
2.277939284203309711e+00	2.381627340360140010e+00	1.597236229890000025e+00	1.573604157375882551e+00
2.320919270697711756e+00	2.431445578234558980e+00	1.627372762529434080e+00	1.601425436370021771e+00
2.363899257192113801e+00	2.481513412789155382e+00	1.657509295168868135e+00	1.629161482312483145e+00
2.406879243686516290e+00	2.531854516410973588e+00	1.687645827808301968e+00	1.656813077435003834e+00
2.449859230180918335e+00	2.582484643224844945e+00	1.717782360447736023e+00	1.684381006197810393e+00
2.492839216675320380e+00	2.633398018824877340e+00	1.747918893087169856e+00	1.711866055283223886e+00
2.535819203169722424e+00	2.684629879556752030e+00	1.778055425726603911e+00	1.739269013589563428e+00
2.578799189664124469e+00	2.736179911676558163e+00	1.808191958366037966e+00	1.766590672225518688e+00
2.621779176158526514e+00	2.788054272880714279e+00	1.838328491005471799e+00	1.793831824505005557e+00
2.664759162652928559e+00	2.840288575404571247e+00	1.868465023644905854e+00	1.820993265942433936e+00
2.707739149147330604e+00	2.892885845669368905e+00	1.898601556284339686e+00	1.848077573284086839e+00
2.750719135641732649e+00	2.945855489697692065e+00	1.928738088923773741e+00	1.875086795981189880e+00
2.793699122136134694e+00	2.999221423258717323e+00	1.958874621563207796e+00	1.902018856192000840e+00
2.836679108630536739e+00	3.053014634455863074e+00	1.989011154202641629e+00	1.928874559618222406e+00
